"","newdata.code1","newdata.code2","fit_value","fit_exp"
"22892","TJK","FIN",-9.75648500789015,5.79178455317177e-05
"22893","TJK","ARG",-9.46719141127474,7.73483423817717e-05
"22894","TJK","HND",-10.951249330325,1.7536093236945e-05
"22895","TJK","NGA",-7.22151097939793,0.000730697515455555
"22896","TJK","YEM",-8.85759657551918,0.000142296652766171
"22897","TJK","DJI",-11.7743063051254,7.69987621563524e-06
"22898","TJK","GAB",-12.1842511480056,5.110306638547e-06
"22899","TJK","PRT",-9.81365522556463,5.4699541778472e-05
"22900","TJK","RWA",-12.2506903929275,4.78181492105681e-06
"22901","TJK","TUR",-7.04012972195143,0.000876012916782198
"22902","TJK","LBN",-9.68599797002336,6.21476240499345e-05
"22903","TJK","LCA",-14.8912808942584,3.41034942493106e-07
"22904","TJK","ARE",-8.51490501571904,0.000200458159113815
"22905","TJK","SUR",-13.8689312591234,9.4798111182666e-07
"22906","TJK","TUN",-9.82655381900465,5.3998525409483e-05
"22907","TJK","BWA",-14.5564261610133,4.7667726849343e-07
"22908","TJK","LVA",-10.655636887696,2.35676184500834e-05
"22909","TJK","BTN",-13.7784803706068,1.03772434652116e-06
"22910","TJK","BFA",-12.4933434930972,3.7515424104349e-06
"22911","TJK","UKR",-8.2447994424488,0.000262620786570299
"22912","TJK","GRC",-9.22844102140894,9.82062183382152e-05
"22913","TJK","BOL",-13.671824761005,1.15452129742746e-06
"22914","TJK","QAT",-9.15392168458364,0.000105804057926409
"22915","TJK","NAM",-12.0303856558282,5.96032435833651e-06
"22916","TJK","STP",-14.5454222742524,4.81951536682679e-07
"22917","TJK","IRL",-10.4971844087073,2.76140899876274e-05
"22918","TJK","EST",-11.1523632385287,1.43413549683572e-05
"22919","TJK","MAR",-8.80178548723452,0.000150464183236999
"22920","TJK","GIN",-10.2513488849228,3.53098398024664e-05
"22921","TJK","DZA",-8.72787434504294,0.00016200646031442
"22922","TJK","CHN",-3.27711184508887,0.0377370901299669
"22923","TJK","MOZ",-9.2289182106006,9.81593665717371e-05
"22924","TJK","MUS",-12.0719693583087,5.71755461805637e-06
"22925","TJK","MLI",-12.4188574611852,4.04165029238704e-06
"22926","TJK","NZL",-11.4554102396741,1.05920139718695e-05
"22927","TJK","PER",-9.65515315062812,6.40944263248885e-05
"22928","TJK","IRQ",-7.71229916645565,0.000447291895475954
"22929","TJK","SLV",-11.4107854266388,1.10753855872041e-05
"22930","TJK","BHS",-13.8523163598198,9.63863297639122e-07
"22931","TJK","BLR",-11.8835546158627,6.90299891195092e-06
"22932","TJK","BRB",-14.3847536429849,5.65953655416693e-07
"22933","TJK","DNK",-9.85015750721067,5.27388856065271e-05
"22934","TJK","MWI",-12.2571999802186,4.75078837398821e-06
"22935","TJK","ISR",-9.02322012568978,0.000120577226597027
"22936","TJK","AUS",-9.56986134705639,6.98010610476054e-05
"22937","TJK","PAK",-4.19526937560256,0.015066683318499
"22938","TJK","JPN",-7.02962566495057,0.00088526310358668
"22939","TJK","ISL",-13.0142528384563,2.22834179571744e-06
"22940","TJK","BIH",-11.1561342801671,1.42873749660087e-05
"22941","TJK","AUT",-12.145410194215,5.31270097301353e-06
"22942","TJK","COL",-9.19510409735605,0.000101535293840638
"22943","TJK","DOM",-10.7387104618048,2.16888888784059e-05
